sku,custom_label_2,title,price,inv,cat
869227,spyder_fallback,"Spyder 950069 5/8"" x 12"" Three-Flat Grip Shank Rotary Hammer Drill Bit",9.0,0,Drill Bit
869076,spyder_fallback,"Spyder 100520 3/8"" Hex Shank TetraClad Multi-Material Drill Bit",8.99,0,Drill Bit
869064,spyder_fallback,"Spyder 950015 1/4"" x 14"" SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",8.95,0,SDS Bit
827946,spyder_fallback,Spyder 15008 1-Inch x 6-1/2-Inch Power Bit,8.92,5,Bit other
869085,spyder_fallback,Spyder 70036 3/8 in Bi-Metal Universal Fit Oscillating Tool Blade for General Purpose Cuts,8.92,0,Oscillating
804750,spyder_fallback,"Spyder 600087CF 2-1/2-Inch Bi-Metal Hole Saw for Wood, Metal, and Plastics",8.91,5,Hole Saw
869130,spyder_fallback,"Spyder 600992 3/4"" Bi-Metal Fixed Arbor Hole Saw with Pilot Bit",8.89,0,HoleSaw Arbor
828107,spyder_fallback,Spyder 600017CF 1-5/8-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,8.88,4,HoleSaw Arbor
42406,spyder_fallback,"Spyder 00144 2"" Spyder Scraper",8.87,0,Scraper
828106,spyder_fallback,Spyder 600015CF 1-1/2-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,8.76,4,HoleSaw Arbor
827820,spyder_fallback,Spyder 00321 6-Inch Scraper Blade Attachment for Reciprocating Saws,8.71,5,Recip Blade
828142,spyder_fallback,Spyder 600086CF 2-3/8-Inch Bi-Metal Hole Saw,8.69,3,Hole Saw
869198,spyder_fallback,"Spyder 19164 7/64"" #8 2-in-1 Self-Centering Drill and Driver Bit with 1/4"" Hex Shank",8.68,0,Driver Bit
828104,spyder_fallback,Spyder 600013CF 1-3/8-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,8.61,4,HoleSaw Arbor
828100,spyder_fallback,Spyder 600002CF 3/4-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,8.52,5,HoleSaw Arbor
804751,spyder_fallback,Spyder 600084CF 2-1/4-Inch Bi-Metal Hole Saw,8.51,5,Hole Saw
828140,spyder_fallback,Spyder 600083CF 2-1/8-Inch Bi-Metal Hole Saw,8.51,5,Hole Saw
869197,spyder_fallback,"Spyder 950029 3/8"" x 4"" x 6"" SDS-Plus 4-Cutter Full-Carbide Rotary Hammer Drill Bit",8.48,0,SDS Bit
869186,spyder_fallback,"Spyder 950012 1/2"" x 10"" x 12"" SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",8.45,0,SDS Bit
828093,spyder_fallback,Spyder 300098 T-Shank Metal And Wood Cutting Bi-Metal Coarse Tooth Jig Saw Blades (3-Pack),8.31,5,KIT/SET
828014,spyder_fallback,"Spyder 19066 7-Piece Metric Impact Driver Hex Bit Set (2, 2.5, 3, 4, 5, 5.5, 6mm)",8.17,5,KIT/SET
828105,spyder_fallback,Spyder 600011CF 1-1/4-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,8.12,5,HoleSaw Arbor
869007,spyder_fallback,Spyder 19165 2-in-1 Countersink Bit with 7/64 in #8 Pilot and 1/4 in Hex Shank,8.12,0,Bit other
828013,spyder_fallback,"Spyder 19064 3-Piece Impact Socket Driver Adapter Set (1/4, 3/8, 1/2-Inch)",8.09,5,KIT/SET
828015,spyder_fallback,"Spyder 19065 7-Piece SAE Impact Driver Hex Bit Set (3/32, 1/8, 9/64, 5/32, 3/16, 7/32, 1/4-Inch)",8.09,5,KIT/SET
828103,spyder_fallback,Spyder 600009CF 1-1/8-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,8.09,5,HoleSaw Arbor
827945,spyder_fallback,Spyder 15007 7/8-Inch x 6-1/2-Inch Power Bit,8.06,5,Bit other
868983,spyder_fallback,"Spyder 950065 3/4"" x 6"" Three Flat Grip Shank Rotary Hammer Drill Bit",8.0,0,Drill Bit
804752,spyder_fallback,Spyder 600081CF 2-Inch Bi-Metal Hole Saw,7.97,5,Hole Saw
828137,spyder_fallback,Spyder 600080CF 1-7/8-Inch Bi-Metal Hole Saw,7.92,4,Hole Saw
869062,spyder_fallback,"Spyder 950039 10"" SDS-Plus Moil Point Chisel Bit for Concrete and Masonry Demolition",7.89,0,SDS Bit
828101,spyder_fallback,Spyder 600005CF 7/8-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,7.87,5,HoleSaw Arbor
828102,spyder_fallback,Spyder 600007CF 1-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,7.87,4,HoleSaw Arbor
869068,spyder_fallback,Spyder 805016 Universal Fit Angle Grinder Wrench Adjustable 1/2 in to 2 in Pin Spacing,7.79,0,OTHER
827944,spyder_fallback,Spyder 15006 3/4-Inch x 6-1/2-Inch Power Bit,7.66,5,Bit other
869075,spyder_fallback,Spyder 19143 11/32 in Mach-Blue Armor Plated Impact Rated Hex Shank Drill Bit for Metal and Wood,7.64,0,Impact Bit
827964,spyder_fallback,Spyder 19013 5/16-Inch x 4-Inch HSS Twist Drill Bit,7.61,4,Twist Bit
804755,spyder_fallback,Spyder 600078CF 1-3/4-Inch Bi-Metal Hole Saw,7.5,5,Hole Saw
869179,spyder_fallback,"Spyder 70019 4"" HCS Half Moon Oscillating Tool Blade for Clean Cuts in Wood and PVC with Dremel Adapter",7.44,0,Oscillating
828138,spyder_fallback,Spyder 600076CF 1-5/8-Inch Bi-Metal Hole Saw,7.43,4,Hole Saw
869089,spyder_fallback,"Spyder 950038 3/4"" x 10"" SDS-Plus Flat Chisel Bit",7.41,0,SDS Bit
869048,spyder_fallback,Spyder 19142 21/64 in Mach-Blue Armor Plated Hex Shank Drill Bit for Metal and Wood,7.37,0,Drill Bit
