sku,custom_label_2,title,price,inv,cat
828181,spyder_curated,Spyder 600841 1/2-Inch HSS Hex11 Deep Cut Quick Change Hole Saw Arbor Pilot Bit,23.54,5,HoleSaw Arbor
828182,spyder_curated,Spyder 600842 1/2-Inch TCT Hex11 Deep Cut Quick Change Hole Saw Arbor Pilot Bit,23.2,5,HoleSaw Arbor
828151,spyder_curated,Spyder 600111CF 6-Inch Bi-Metal Hole Saw,23.0,5,Hole Saw
828150,spyder_curated,Spyder 600110CF 5-3/4-Inch Bi-Metal Hole Saw,22.57,5,Hole Saw
827924,spyder_curated,Spyder 14002 Diamond Bite 4.5-Inch Cut-Off Wheel (2-Pack),22.43,5,KIT/SET
827916,spyder_curated,Spyder 13069CA 8-1/4-Inch 24-Tooth Circular Saw Blade,22.36,4,Circular Blade
827978,spyder_curated,Spyder 19029 25-Piece Impact Driver Bit Kit,22.27,5,KIT/SET
828192,spyder_curated,Spyder 600854 1-1/4-Inch Diamond Edge Arbored Hole Saw Bit,22.23,5,HoleSaw Arbor
827872,spyder_curated,Spyder 12015 1-1/2-Inch x 6-1/2-Inch Auger Bit,22.12,5,Auger Bit
827941,spyder_curated,"Spyder 15001 4-Piece Assorted Woodboring Power Bit Set (1/2, 5/8, 3/4, 1-Inch)",21.95,5,KIT/SET
828149,spyder_curated,Spyder 600109CF 5-1/2-Inch Bi-Metal Hole Saw,21.77,4,Hole Saw
828226,spyder_curated,Spyder 600914CF 3-1/2-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,21.73,5,Hole Saw
828125,spyder_curated,Spyder 600044CF 4-1/4-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,21.44,8,HoleSaw Arbor
828195,spyder_curated,Spyder 600857 1-1/4-Inch Diamond Edge Non-Arbored Hole Saw,21.27,5,HoleSaw Arbor
828225,spyder_curated,Spyder 600913CF 3-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,21.21,5,Hole Saw
827882,spyder_curated,Spyder 12026 13/16-Inch x 18-Inch Auger Bit,20.97,5,Auger Bit
667853,spyder_curated,"Spyder 00243 3 Pack - Stacked Multi-Blade Skin Pack 2, 4, 6in",20.88,4,KIT/SET
828123,spyder_curated,Spyder 600043CF 4-1/8-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,20.84,5,HoleSaw Arbor
827894,spyder_curated,Spyder 13018 7-1/4-Inch 60-Tooth TCT Ultra Fine Circular Saw Blade,20.74,6,Circular Blade
804749,spyder_curated,Spyder 600634P Hex10 1/2-Inch HSS Quick Change Hole Saw Arbor Assembly,20.73,16,HoleSaw Arbor
827869,spyder_curated,Spyder 12014 1-3/8-Inch x 6-1/2-Inch Auger Bit,20.13,5,Auger Bit
828078,spyder_curated,Spyder 21105-10 4.5-Inch Bonded Ceramic Abrasive Cut-Off Wheel (10-Pack),19.66,5,Cutoff/Grind
828124,spyder_curated,Spyder 600042CF 4-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,19.51,5,HoleSaw Arbor
828148,spyder_curated,Spyder 600106CF 4-5/8-Inch Bi-Metal Hole Saw,19.5,5,Hole Saw
828153,spyder_curated,Spyder 600635P Hex10 1/2-Inch TCT Quick Change Hole Saw Arbor Assembly,19.44,3,HoleSaw Arbor
827880,spyder_curated,Spyder 12025 11/16-Inch x 18-Inch Auger Bit,19.33,4,Auger Bit
828120,spyder_curated,Spyder 600038CF 3-1/2-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,19.19,5,HoleSaw Arbor
828147,spyder_curated,Spyder 600107CF 5-Inch Bi-Metal Hole Saw,19.04,5,Hole Saw
828224,spyder_curated,Spyder 600912CF 2-3/4-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,18.93,4,Hole Saw
804754,spyder_curated,"Spyder 600100CF 4-3/4-Inch Bi-Metal Hole Saw for Wood, Metal, and Plastics",18.92,4,Hole Saw
828156,spyder_curated,Spyder 600638P Hex8 3/8-Inch TCT Quick Change Hole Saw Arbor Assembly,18.92,8,HoleSaw Arbor
828220,spyder_curated,Spyder 600909CF 2-1/2-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,18.7,5,Hole Saw
827873,spyder_curated,Spyder 12019 3/4-Inch x 18-Inch Auger Bit,18.63,5,Auger Bit
827899,spyder_curated,Spyder 13025 6-1/2-Inch 48-Tooth TCT Ultra Fine Circular Saw Blade,18.49,5,Circular Blade
828223,spyder_curated,Spyder 600911CF 2-5/8-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,18.49,5,Hole Saw
